"Gene","logFC_12649","P_12649","logFC_21138","P_21138","logFC_53987","P_53987","MetaP","FDR","Direction","MeanLogFC","Significant"
"IGFBP6",-0.265722631664559,8.50264055370677e-06,-0.156599,0.0392014365831135,-0.292096999927166,2.31878836383603e-05,2.73532391327678e-09,3.55291223095521e-05,"Consistent",-0.238139543863908,TRUE
"ALDH6A1",0.298315335687532,0.0110639637674668,0.416975827007019,0.00199303746407331,0.428465979160924,1.31051264028422e-05,7.63449572247185e-08,0.000495822324695934,"Consistent",0.381252380618492,TRUE
"MED13L",0.222076631932661,0.000342715576999009,0.241256386403944,0.017647759855068,0.242721144609771,0.000162281952311393,2.32475751141708e-07,0.000503271255263275,"Consistent",0.235351387648792,TRUE
"ALDH1L1",0.422134062793652,0.00257133148150565,0.358346409952707,0.0267747746314942,0.46595009598634,1.29661927786259e-05,2.13281822206502e-07,0.000503271255263275,"Consistent",0.415476856244233,TRUE
"GFRA2",-0.152651433463047,0.0115789272703932,-0.233500741,0.00305069118566376,-0.352587964058957,2.73310493120855e-05,2.29015496514466e-07,0.000503271255263275,"Consistent",-0.246246712840668,TRUE
"GNG12",0.210249586445948,0.01951998147436,0.203507223359908,0.0038642494090821,0.324118848493637,8.75518426862409e-06,1.62161770477001e-07,0.000503271255263275,"Consistent",0.245958552766498,TRUE
"RHOBTB3",0.390246889624639,0.00342081517179024,0.445053508939399,0.00448397393528934,0.448980624613766,8.82170985359305e-05,3.11124042842023e-07,0.000505148774059379,"Consistent",0.428093674392601,TRUE
"FERMT2",0.369549365316697,0.00861901137729386,0.423168026456284,0.000672891699830277,0.389545319825801,0.00021304637822254,2.86506323514624e-07,0.000505148774059379,"Consistent",0.394087570532927,TRUE
"BAG3",0.450983031984374,0.0440962969641273,0.804194980805533,0.00478656295993256,1.07936699333783,9.46015078917531e-06,4.42614120415624e-07,0.000638790534453172,"Consistent",0.778181668709246,TRUE
"KCNS3",-0.184060607014713,0.00249767692191245,-0.328474158,0.00168764830035069,-0.279279320152344,0.000671785529958698,6.07063577861179e-07,0.000716831710258078,"Consistent",-0.263938028389019,TRUE
"PVALB",-0.313081067769688,0.0905333099105951,-0.714581347,0.00129754304177257,-0.490262531030663,2.39599167621251e-05,6.03746768792013e-07,0.000716831710258078,"Consistent",-0.50597498193345,TRUE
"TNFSF10",-0.382900753873306,1.88156991214814e-05,-0.404334645,0.0426912480977942,-0.688104054723501,0.00603254387867991,9.85689815935701e-07,0.000856957594290649,"Consistent",-0.491779817865602,TRUE
"AQP4",0.539100527862614,0.00107428088943301,0.428350562343248,0.0414090511635136,0.537086250292653,0.000141883684283811,1.25049925147399e-06,0.000856957594290649,"Consistent",0.501512446832838,TRUE
"LAMB3",-0.272037274042797,0.00130024288595277,-0.334322348,0.000649399032004359,-0.263933120251139,0.00634144607586373,1.07844928836756e-06,0.000856957594290649,"Consistent",-0.290097580764646,TRUE
"GABRB1",0.222792719989503,0.00702318867562916,0.232230196286587,0.0321982046459677,0.352643665201177,2.77108216475722e-05,1.24241672287982e-06,0.000856957594290649,"Consistent",0.269222193825756,TRUE
"GNS",-0.162856577533552,0.00895043789325999,-0.228513962,0.0053227073304969,0.202461352372268,0.000132843417907606,1.25353716926032e-06,0.000856957594290649,"Mixed",-0.0629697290537615,TRUE
"NEUROD6",-0.283823548140264,0.00897271757601197,-0.444788475,0.000845946133184774,-0.393632274415678,0.000573118898484814,8.94374324770577e-07,0.000856957594290649,"Consistent",-0.374081432518647,TRUE
"PRKCI",0.143270174705568,0.0591746618620211,-0.148822837,0.124666066977394,-0.487076831106156,8.05078775909541e-07,1.18388000178241e-06,0.000856957594290649,"Mixed",-0.16420983113353,TRUE
"PPP1R3D",0.101949512176262,0.202309684900643,0.21919721774325,0.00947813218714266,0.405097641919645,2.8105577167715e-06,1.08474530238426e-06,0.000856957594290649,"Consistent",0.242081457279719,TRUE
"MCM6",0.265789411876021,4.6528283122316e-05,0.0288080175165932,0.434786670798844,0.191610752419393,0.000411524523010748,1.60389738477837e-06,0.000907180363421377,"Consistent",0.162069393937336,TRUE
"SMARCA1",0.209792222787367,0.00128554078984836,-0.167560453,0.101971065670812,0.179352830693743,5.88846260370471e-05,1.498600937506e-06,0.000907180363421377,"Mixed",0.0738615334937031,TRUE
"MT1X",0.621055327660228,0.00209677845440189,0.643416785277978,0.00389979616927504,0.592369251737258,0.00101985752953099,1.60637064890998e-06,0.000907180363421377,"Consistent",0.618947121558488,TRUE
"NCOA2",0.222938253975407,0.0205587747543235,-0.206979761,0.0819485738192073,-0.378588956801752,4.75133592489813e-06,1.54836595198977e-06,0.000907180363421377,"Mixed",-0.120876821275448,TRUE
"ANP32E",0.353865084197569,0.00507611790385209,0.24340155317017,0.0063868105224123,0.213033323372933,0.000283908698068203,1.75522830456191e-06,0.000949944185331444,"Consistent",0.270099986913557,TRUE
"TRIM3",-0.171859057854369,0.00143843984239263,-0.22185075,0.00262163337946662,-0.244107171346056,0.00272712624331854,1.93895167906935e-06,0.00100740173437727,"Consistent",-0.212605659733475,TRUE
"KAZN",-0.165497295190222,0.000867236349899474,-0.259397114,0.0121217199535847,-0.217017520480419,0.00103344780210123,2.03673566851837e-06,0.00101750613839943,"Consistent",-0.213970643223547,TRUE
"SOX9",0.481377495767624,0.00803788955269315,0.546298488621149,0.00469479506373469,0.529732045302378,0.000385973864454921,2.64866740827642e-06,0.00118632899883112,"Consistent",0.51913600989705,TRUE
"MT1E",0.34299018019699,0.00813599763875227,0.436934959047445,0.00436127086678187,0.504306569558914,0.000393988903611526,2.55318210575348e-06,0.00118632899883112,"Consistent",0.428077236267783,TRUE
"RGS6",-0.142456549269175,0.028347855919472,-0.198927162,0.00742720968508068,-0.393322448412227,6.6604650364261e-05,2.56025996237944e-06,0.00118632899883112,"Consistent",-0.244902053227134,TRUE
"DOP1A",0.102009875275312,0.0307883133101345,0.122830244033311,0.000655277728374213,0.344512495061178,0.000763898753719925,2.78602583080255e-06,0.00120625631720981,"Consistent",0.189784204789933,TRUE
"ICMT",-0.12531455167184,0.00452805046459791,-0.141350224,0.0121610324053356,-0.206751829679924,0.000310644851780849,3.05853027302319e-06,0.00120767708378442,"Consistent",-0.157805535117255,TRUE
"AKT3",-0.136640802031406,0.0133405789799524,-0.299616883,0.00362622182178441,-0.351891037732077,0.000366577653854676,3.15869434407565e-06,0.00120767708378442,"Consistent",-0.262716240921161,TRUE
"TNFSF13",0.236509112042874,0.0233468332805385,0.353765464828616,0.00307401268865696,0.410852882332263,0.000255463705535033,3.25419184944605e-06,0.00120767708378442,"Consistent",0.333709153067918,TRUE
"FBXO9",-0.17807469533146,0.0930655267451364,-0.347429967,0.000816384856144303,-0.513395826155806,0.00023392368344417,3.16496304817458e-06,0.00120767708378442,"Consistent",-0.346300162829089,TRUE
"TGIF1",0.0359276759453531,0.74771998148731,0.378714536950841,0.00138143004236251,0.58204440624113,1.76255491512815e-05,3.23380878757652e-06,0.00120767708378442,"Consistent",0.332228873045775,TRUE
"HMGB2",0.360450325191287,0.00291230334346324,0.294301180631431,0.034172557162097,0.42665735121456,0.000202558280960061,3.54214239458203e-06,0.00127802465453405,"Consistent",0.360469619012426,TRUE
"EDN3",-0.203164744787156,0.00202709952984356,-0.077412893,0.442807172236048,-0.50494914607843,2.39311098668427e-05,3.74895613227942e-06,0.0012784789534265,"Consistent",-0.261842261288529,TRUE
"MAP3K12",-0.0745360378170901,0.157143411850275,-0.247590689,0.000512761439754007,-0.172028825632195,0.000273743357611987,3.83868497833809e-06,0.0012784789534265,"Consistent",-0.164718517483095,TRUE
"CASP7",0.043681166432088,0.541346504276396,0.262066780336779,0.0113573009781263,0.475140388696045,3.41127754285255e-06,3.66973531640118e-06,0.0012784789534265,"Consistent",0.260296111821637,TRUE
"TRBV19",-0.298124403151527,0.000597492516145165,-0.257451066,0.0147525793509899,-0.418629459208963,0.00268597420148679,4.08913995167202e-06,0.0013028771614762,"Consistent",-0.324734976120163,TRUE
"TUBB2B",0.344981904134775,0.0102481044086536,0.340496709740261,0.00940316164778714,0.407238306628622,0.000279620522239884,4.58942192270473e-06,0.0013028771614762,"Consistent",0.364238973501219,TRUE
"ETS2",-0.150030977831557,0.0282336007304152,-0.283692199,0.00960684181695013,-0.256529141132361,9.18925402540674e-05,4.2810931382809e-06,0.0013028771614762,"Consistent",-0.230084105987973,TRUE
"CHRDL1",0.225748888750443,0.0530776330670945,0.301232163864858,0.0415986748627984,0.437613385012691,1.11525383023391e-05,4.23505561810005e-06,0.0013028771614762,"Consistent",0.321531479209331,TRUE
"PIGA",0.150757472216639,0.060540856558134,0.267831676434933,0.00772525696592934,0.335671413570023,5.93758122564462e-05,4.71439114553709e-06,0.0013028771614762,"Consistent",0.251420187407198,TRUE
"LGR4",0.124467978382514,0.0607685996466145,0.275708478663982,0.0185806299368868,0.432747646331245,2.31437758698326e-05,4.4656497430781e-06,0.0013028771614762,"Consistent",0.27764136779258,TRUE
"SLC35F5",-0.0345494821719718,0.255071285260722,0.280894592323072,0.0434169919078864,0.377862057177294,2.3887730695707e-06,4.51473062672843e-06,0.0013028771614762,"Mixed",0.208069055776132,TRUE
"KLF15",0.0138587103652021,0.796743500988032,0.351594030707845,0.00214880013852555,0.463375982077092,1.62082627381688e-05,4.71129456956846e-06,0.0013028771614762,"Consistent",0.276276241050046,TRUE
"ALG13",-0.151463353572572,0.000420226256836232,-0.221074773,0.00919992012789632,-0.214512964549119,0.00838393160055233,5.41080563026563e-06,0.00137829790680455,"Consistent",-0.195683697040564,TRUE
"ENTREP1",0.335922574387315,0.00217818873708876,0.353055587531407,0.00786843262496889,0.33752613911095,0.00196084797868907,5.58799044493881e-06,0.00137829790680455,"Consistent",0.342168100343224,TRUE
"GAD2",-0.139803856059951,0.0200232481672506,-0.246467653,0.00187925815819357,-0.420472209103403,0.00083497766192218,5.26282688244719e-06,0.00137829790680455,"Consistent",-0.268914572721118,TRUE
"SERP1",0.185145649061733,0.0323722491039266,0.172846778707864,0.00425922895640138,0.202705907800357,0.000223549006907843,5.17376948049396e-06,0.00137829790680455,"Consistent",0.186899445189985,TRUE
"DDIT4",0.310401922979592,0.0675720688674937,0.599604216703291,0.000398277126062575,0.846523176013289,0.00131121545499264,5.83619869691665e-06,0.00137829790680455,"Consistent",0.585509771898724,TRUE
"ATP6V0E1",0.158023318202228,0.0830888237056995,0.286943182308789,0.0024166984677911,0.301263408537931,0.000174496407599628,5.79952703428155e-06,0.00137829790680455,"Consistent",0.248743303016316,TRUE
"MCF2",0.118352877379944,0.120050750503721,-0.389906268,0.0013331525980743,-0.333816282614324,0.00021176728866391,5.63026673073794e-06,0.00137829790680455,"Mixed",-0.201789891078126,TRUE
"ELOVL5",0.193691338443839,0.121431129756892,0.292063299493888,0.0105704744529494,0.345964961607542,2.57303465685664e-05,5.5020604959349e-06,0.00137829790680455,"Consistent",0.27723986651509,TRUE
"CRHBP",-0.388996986604329,0.00204029346986195,-0.590295043,0.000603572493734042,-0.364382878846611,0.0316016842548979,6.36731055885825e-06,0.00137841661415016,"Consistent",-0.447891636150314,TRUE
"ISLR",-0.213582988766936,0.00427521914702436,-0.196598708,0.0703711000321727,-0.237998130789851,0.000127314299312154,6.2779126421155e-06,0.00137841661415016,"Consistent",-0.216059942518929,TRUE
"ATP2B2",-0.325710319550816,0.0175972651583868,-0.461372004,0.00554716307170189,-0.195754413377825,0.000394881667597576,6.31342068825266e-06,0.00137841661415016,"Consistent",-0.32761224564288,TRUE
"PSME3",-0.172704558463691,0.0265973842827395,-0.235388179,0.00306996257576417,-0.194952478846696,0.00045373684773285,6.09472567765367e-06,0.00137841661415016,"Consistent",-0.201015072103462,TRUE
"USP33",0.236384880167249,0.0334806701763477,-0.374054829,0.00123021749212729,-0.206620275439731,0.000906844919497111,6.13900684998329e-06,0.00137841661415016,"Mixed",-0.114763408090827,TRUE
"ETV5",-0.258293051289476,0.00045984374633148,-0.217907966,0.0516742516270231,-0.386767430272867,0.00187944426048422,7.19636374544361e-06,0.00142017055800834,"Consistent",-0.287656149187448,TRUE
"BID",-0.26592917095835,0.00255154071340162,-0.213652125,0.00438839795894023,-0.153901153041293,0.0038381326784334,6.95475273653389e-06,0.00142017055800834,"Consistent",-0.211160816333214,TRUE
"STX6",-0.138273978746075,0.00303252929286359,-0.178242376,0.0262057659808381,-0.194484176677693,0.000528689788033948,6.81625679057043e-06,0.00142017055800834,"Consistent",-0.170333510474589,TRUE
"PLXDC1",-0.177770954378816,0.00314163327727996,-0.312579127,0.00274165819324997,-0.341053648537309,0.00510444770998164,7.09696068052627e-06,0.00142017055800834,"Consistent",-0.277134576638708,TRUE
"IL17RB",0.332900767643034,0.00944571718566957,0.368090016302393,0.0198356593600962,0.414118235534419,0.000239098923712968,7.2162026967858e-06,0.00142017055800834,"Consistent",0.371703006493282,TRUE
"HSDL2",0.231482365987493,0.016637287867869,0.381281425985641,0.00254685614886348,0.263645867698212,0.0010229067113621,7.00754669703395e-06,0.00142017055800834,"Consistent",0.292136553223782,TRUE
"NR3C1",-0.263194788421137,0.00315493183134051,-0.382119251,0.00463145542453494,-0.134365048249919,0.00333102966276208,7.76815936034686e-06,0.00150597943181411,"Consistent",-0.259893029223685,TRUE
"IDH3B",-0.122610928448294,0.00101414247569961,-0.319712234,0.00259542397317829,-0.159963306321632,0.019714396934653,8.22261005337667e-06,0.00153073315437403,"Consistent",-0.200762156256642,TRUE
"FTH1",0.22771513194188,0.00672389682627477,0.247283683276757,0.00509823247525503,0.21958859740133,0.00151333955425259,8.22069866199239e-06,0.00153073315437403,"Consistent",0.231529137539989,TRUE
"TGOLN2",0.217067374111718,0.0345736529158176,-0.18737235,0.0124998177013633,-0.25521912784136,0.000122453597045886,8.36723796755381e-06,0.00153073315437403,"Mixed",-0.0751747012432141,TRUE
"NREP",-0.233138607191368,0.0757070289623861,-0.262398509,0.000427072396916084,-0.446115870679881,0.00163326194856137,8.35139947549865e-06,0.00153073315437403,"Consistent",-0.313884328957083,TRUE
"TOB2",0.156315299986423,0.176361985295893,0.395864344577459,0.00166975814188401,0.379513219947939,0.000184167148840607,8.55136789372537e-06,0.00154269052182776,"Consistent",0.310564288170607,TRUE
"HMGN1",0.152777076115459,0.0109595017742569,0.0744112102661774,0.262145987016683,0.241302163821457,1.95335339824723e-05,8.81472900355676e-06,0.00156841801407122,"Consistent",0.156163483401031,TRUE
"PEG10",0.329865136129179,0.00101523095061813,-0.416638275,0.0290979031404115,0.211816551740839,0.00198383558018811,9.16017475738733e-06,0.00157007106162635,"Mixed",0.0416811376233392,TRUE
"MT2A",0.338429161370174,0.0208074317149287,0.408768837151859,0.00788037706717315,0.565317614319687,0.000358574798552476,9.18665029514226e-06,0.00157007106162635,"Consistent",0.437505204280573,TRUE
"FOLR1",-0.0579201103939981,0.41523018976354,0.32507864285463,0.00216108310140686,-0.737078098791732,6.50315090439871e-05,9.12566333997634e-06,0.00157007106162635,"Mixed",-0.1566398554437,TRUE
"GOSR2",-0.166423864855711,0.000491929451954329,-0.178165579,0.0332522319119901,0.311975247871073,0.00384479005802498,9.75209255957405e-06,0.00160643309766431,"Mixed",-0.010871398661546,TRUE
"BCL6",0.250853027205718,0.0256029210549628,0.440058654919108,0.00199592613319403,0.510138621224721,0.00120224999582014,9.55173847129467e-06,0.00160643309766431,"Consistent",0.400350101116516,TRUE
"PALLD",0.291621897653291,0.0305692097177122,0.422913545419967,0.00231875775862101,0.388319278026186,0.000889154553746967,9.77043765613058e-06,0.00160643309766431,"Consistent",0.367618240366481,TRUE
"MRPL4",-0.180296161079727,0.000716230245027999,-0.243473265,0.0538941375408349,-0.163526226731925,0.00166138780847651,9.92215400970707e-06,0.00161098573040106,"Consistent",-0.195765217603884,TRUE
"PTPRO",0.107662178565561,0.43495858375085,-0.413151738,0.0120071301762933,0.262169476292815,1.25990741324413e-05,1.01507642055969e-05,0.00162775649711727,"Mixed",-0.0144400277138747,TRUE
