"Gene","logFC_12649","P_12649","logFC_21138","P_21138","logFC_53987","P_53987","MetaP","FDR","Direction","MeanLogFC"
"ALDH6A1",0.298315335687532,0.0110639637674668,0.416975827007019,0.00199303746407331,0.428465979160924,1.31051264028422e-05,7.63449572247185e-08,0.000495822324695934,"Consistent",0.381252380618492
"MED13L",0.222076631932661,0.000342715576999009,0.241256386403944,0.017647759855068,0.242721144609771,0.000162281952311393,2.32475751141708e-07,0.000503271255263275,"Consistent",0.235351387648792
"ALDH1L1",0.422134062793652,0.00257133148150565,0.358346409952707,0.0267747746314942,0.46595009598634,1.29661927786259e-05,2.13281822206502e-07,0.000503271255263275,"Consistent",0.415476856244233
"GNG12",0.210249586445948,0.01951998147436,0.203507223359908,0.0038642494090821,0.324118848493637,8.75518426862409e-06,1.62161770477001e-07,0.000503271255263275,"Consistent",0.245958552766498
"RHOBTB3",0.390246889624639,0.00342081517179024,0.445053508939399,0.00448397393528934,0.448980624613766,8.82170985359305e-05,3.11124042842023e-07,0.000505148774059379,"Consistent",0.428093674392601
"FERMT2",0.369549365316697,0.00861901137729386,0.423168026456284,0.000672891699830277,0.389545319825801,0.00021304637822254,2.86506323514624e-07,0.000505148774059379,"Consistent",0.394087570532927
"BAG3",0.450983031984374,0.0440962969641273,0.804194980805533,0.00478656295993256,1.07936699333783,9.46015078917531e-06,4.42614120415624e-07,0.000638790534453172,"Consistent",0.778181668709246
"AQP4",0.539100527862614,0.00107428088943301,0.428350562343248,0.0414090511635136,0.537086250292653,0.000141883684283811,1.25049925147399e-06,0.000856957594290649,"Consistent",0.501512446832838
"GABRB1",0.222792719989503,0.00702318867562916,0.232230196286587,0.0321982046459677,0.352643665201177,2.77108216475722e-05,1.24241672287982e-06,0.000856957594290649,"Consistent",0.269222193825756
"PPP1R3D",0.101949512176262,0.202309684900643,0.21919721774325,0.00947813218714266,0.405097641919645,2.8105577167715e-06,1.08474530238426e-06,0.000856957594290649,"Consistent",0.242081457279719
"MCM6",0.265789411876021,4.6528283122316e-05,0.0288080175165932,0.434786670798844,0.191610752419393,0.000411524523010748,1.60389738477837e-06,0.000907180363421377,"Consistent",0.162069393937336
"SMARCA1",0.209792222787367,0.00128554078984836,-0.167560453,0.101971065670812,0.179352830693743,5.88846260370471e-05,1.498600937506e-06,0.000907180363421377,"Mixed",0.0738615334937031
"MT1X",0.621055327660228,0.00209677845440189,0.643416785277978,0.00389979616927504,0.592369251737258,0.00101985752953099,1.60637064890998e-06,0.000907180363421377,"Consistent",0.618947121558488
"ANP32E",0.353865084197569,0.00507611790385209,0.24340155317017,0.0063868105224123,0.213033323372933,0.000283908698068203,1.75522830456191e-06,0.000949944185331444,"Consistent",0.270099986913557
"SOX9",0.481377495767624,0.00803788955269315,0.546298488621149,0.00469479506373469,0.529732045302378,0.000385973864454921,2.64866740827642e-06,0.00118632899883112,"Consistent",0.51913600989705
"MT1E",0.34299018019699,0.00813599763875227,0.436934959047445,0.00436127086678187,0.504306569558914,0.000393988903611526,2.55318210575348e-06,0.00118632899883112,"Consistent",0.428077236267783
"DOP1A",0.102009875275312,0.0307883133101345,0.122830244033311,0.000655277728374213,0.344512495061178,0.000763898753719925,2.78602583080255e-06,0.00120625631720981,"Consistent",0.189784204789933
"TNFSF13",0.236509112042874,0.0233468332805385,0.353765464828616,0.00307401268865696,0.410852882332263,0.000255463705535033,3.25419184944605e-06,0.00120767708378442,"Consistent",0.333709153067918
"TGIF1",0.0359276759453531,0.74771998148731,0.378714536950841,0.00138143004236251,0.58204440624113,1.76255491512815e-05,3.23380878757652e-06,0.00120767708378442,"Consistent",0.332228873045775
"HMGB2",0.360450325191287,0.00291230334346324,0.294301180631431,0.034172557162097,0.42665735121456,0.000202558280960061,3.54214239458203e-06,0.00127802465453405,"Consistent",0.360469619012426
"CASP7",0.043681166432088,0.541346504276396,0.262066780336779,0.0113573009781263,0.475140388696045,3.41127754285255e-06,3.66973531640118e-06,0.0012784789534265,"Consistent",0.260296111821637
"TUBB2B",0.344981904134775,0.0102481044086536,0.340496709740261,0.00940316164778714,0.407238306628622,0.000279620522239884,4.58942192270473e-06,0.0013028771614762,"Consistent",0.364238973501219
"CHRDL1",0.225748888750443,0.0530776330670945,0.301232163864858,0.0415986748627984,0.437613385012691,1.11525383023391e-05,4.23505561810005e-06,0.0013028771614762,"Consistent",0.321531479209331
"PIGA",0.150757472216639,0.060540856558134,0.267831676434933,0.00772525696592934,0.335671413570023,5.93758122564462e-05,4.71439114553709e-06,0.0013028771614762,"Consistent",0.251420187407198
"LGR4",0.124467978382514,0.0607685996466145,0.275708478663982,0.0185806299368868,0.432747646331245,2.31437758698326e-05,4.4656497430781e-06,0.0013028771614762,"Consistent",0.27764136779258
"SLC35F5",-0.0345494821719718,0.255071285260722,0.280894592323072,0.0434169919078864,0.377862057177294,2.3887730695707e-06,4.51473062672843e-06,0.0013028771614762,"Mixed",0.208069055776132
"KLF15",0.0138587103652021,0.796743500988032,0.351594030707845,0.00214880013852555,0.463375982077092,1.62082627381688e-05,4.71129456956846e-06,0.0013028771614762,"Consistent",0.276276241050046
"ENTREP1",0.335922574387315,0.00217818873708876,0.353055587531407,0.00786843262496889,0.33752613911095,0.00196084797868907,5.58799044493881e-06,0.00137829790680455,"Consistent",0.342168100343224
"SERP1",0.185145649061733,0.0323722491039266,0.172846778707864,0.00425922895640138,0.202705907800357,0.000223549006907843,5.17376948049396e-06,0.00137829790680455,"Consistent",0.186899445189985
"DDIT4",0.310401922979592,0.0675720688674937,0.599604216703291,0.000398277126062575,0.846523176013289,0.00131121545499264,5.83619869691665e-06,0.00137829790680455,"Consistent",0.585509771898724
